title,released,distributor,genre,rating,gross,tickets,imdb_id
Lee Daniels' The Butler,2013-08-16,Weinstein Co.,Drama,PG-13,338433,41423,tt1327773
Hasee Toh Phasee,2014-02-07,Reliance Entertainment,Romantic Comedy,Not Rated,336985,41246,tt3173910
Chinese Puzzle,2014-05-16,Cohen Media Group,Romantic Comedy,R,336500,41187,tt1937118
I Origins,2014-07-18,Fox Searchlight,Drama,R,336472,41183,tt2884206
"Like Father, Like Son",2014-01-17,IFC Films,Drama,Not Rated,333678,40841,tt2331143
Elaine Stritch: Shoot Me,2014-02-21,IFC Films,Documentary,Not Rated,330083,40401,tt2405792
Nymphomaniac: Volume II,2014-04-04,Magnolia Pictures,Drama,Not Rated,327167,40044,
Stranger by the Lake,2014-01-24,Strand,Drama,Not Rated,323070,39543,tt2852458
Bj_rk: Biophilia Live,2014-09-26,Cinema Purgatorio,Concert/Performance,Not Rated,319456,39101,
The Hornet's Nest,2014-05-09,Freestyle Releasing,Documentary,R,312706,38274,tt2611026
A Five Star Life,2014-07-18,Music Box Films,Drama,Not Rated,306917,37566,tt2261434
Mood Indigo,2014-07-18,Drafthouse Films,Drama,Not Rated,303187,37109,tt2027140
Happy Ending,2014-11-21,Eros Entertainment,Romantic Comedy,Not Rated,295579,36178,tt3017412
The Dance of Reality,2014-05-23,ABCKO Films,Drama,Not Rated,293680,35946,tt2301592
Innocence,2014-09-05,JSC Entertainment,Action,PG-13,292824,35841,tt0128332
A Most Violent Year,2014-12-31,A24,Drama,R,286046,35011,tt2937898
"20,000 Days on Earth",2014-09-17,Drafthouse Films,Documentary,Not Rated,277770,33998,tt2920540
The Unknown Known,2014-04-02,RADiUS-TWC,Documentary,PG-13,275658,33740,tt2390962
Main Tera Hero,2014-04-04,Eros Entertainment,Comedy,Not Rated,274579,33608,tt2762334
Night Moves,2014-05-30,Cinedigm,Thriller/Suspense,R,271755,33262,tt2043933
Kill Your Darlings,2013-10-18,Sony Pictures Classics,Drama,R,269443,32979,tt1311071
Life of Crime,2014-08-29,Lionsgate/Roadside Attractions,Comedy,R,265452,32491,tt1663207
Punjab 1984,2014-06-27,White Hill Production,Drama,Not Rated,265000,32435,tt3607198
The Green Prince,2014-09-12,Music Box Films,Documentary,PG-13,258237,31607,tt2304915
Blue Ruin,2014-04-25,RADiUS-TWC,Thriller/Suspense,R,258113,31592,tt2359024
The Blue Room,2014-10-03,IFC Films,Thriller/Suspense,R,257757,31549,tt3230082
The Zero Theorem,2014-09-19,Amplify,Drama,R,257706,31542,tt2333804
Alive Inside,2014-07-18,Bond/360,Documentary,R,256682,31417,tt2593392
Entertainment,2014-08-08,B4U Movies,Comedy,Not Rated,255000,31211,tt2978626
Elle s'en va,2013-11-22,Mongrel Media,Drama,Not Rated,252344,30886,
The Galapagos Affair: Satan Came to Eden,2014-04-04,Zeitgeist,Documentary,Not Rated,247159,30252,tt2960450
A Matter of Faith,2014-10-17,Five & Two Pictures,Drama,PG,246969,30228,tt2587914
Justin Bieber's Believe,2013-12-25,Open Road,Documentary,PG,243584,29814,tt3165608
Love on the Cloud,2014-12-24,China Lion Film Distribution,Comedy,Not Rated,241026,29501,
The 100-Year-Old Man Who Climbed Out Of The Window and Disappeared,2015-05-08,Music Box Films,Comedy,R,239299,29289,
Art and Craft,2014-09-19,Oscilloscope Pictures,Documentary,Not Rated,237091,29019,tt3654964
Diplomacy,2014-10-15,Zeitgeist,Drama,Not Rated,220000,26927,tt1403154
Child's Pose,2014-02-19,Zeitgeist,Drama,Not Rated,218224,26710,tt2187115
All is Lost,2013-10-18,Roadside Attractions,Thriller/Suspense,PG-13,216463,26494,tt2017038
Supermensch: The Legend of Shep Gordon,2014-06-06,RADiUS-TWC,Documentary,R,212701,26034,tt3074780
The Breakup Guru,2014-06-27,China Lion Film Distribution,Action,Not Rated,208959,25576,tt3667798
Gemma Bovery,2015-05-29,Music Box Films,Drama,R,207131,25352,tt2788556
Rob the Mob,2014-03-21,Alchemy,Drama,R,206909,25325,tt2481480
I Am Eleven,2014-09-12,Proud Mother Pictures,Documentary,Not Rated,202911,24836,tt1832370
Jinn,2014-04-04,Freestyle Releasing,Thriller/Suspense,PG-13,202348,24767,tt1562899
The Double,2014-05-09,Magnolia Pictures,Comedy,R,200406,24529,tt1825157
A Summer's Tale,2014-06-20,Big World Pictures,Comedy,Not Rated,198127,24250,tt0115940
Goodbye to Language,2014-10-29,Kino Lorber,Drama,Not Rated,192750,23592,tt2400275
Code Black,2014-06-20,Long Shot Factory,Documentary,Not Rated,190229,23283,tt2759372
National Gallery,2014-11-05,Zipporah,Documentary,Not Rated,189344,23175,tt3720794
Listen Up Philip,2014-10-17,TriBeca Films,Black Comedy,Not Rated,188486,23070,tt3093546
The Armstrong Lie,2013-11-08,Sony Pictures Classics,Documentary,R,186846,22869,tt1638364
Dhoom 3,2013-12-20,Yash Raj Films,Action,Not Rated,185083,22653,tt1833673
We Are The Best!,2014-05-30,Magnolia Pictures,Drama,Not Rated,180590,22104,tt2364975
Anita: Speaking Truth to Power,2014-03-21,Samuel Goldwyn Films,Documentary,Not Rated,172634,21130,
Afternoon of a Faun: Tanaquil Le Clercq,2014-02-05,Kino Lorber,Documentary,Not Rated,172120,21067,tt2381319
That Demon Within,2014-04-18,China Lion Film Distribution,Horror,Not Rated,172010,21053,tt3511542
The Last of Robin Hood,2014-08-29,Samuel Goldwyn Films,Drama,R,171138,20947,tt2450440
God's Pocket,2014-05-09,IFC Films,Drama,R,166457,20374,tt2920808
Nas: Time is Illmatic,2014-10-01,TriBeca Films,Documentary,Not Rated,164540,20139,tt3549508
Horns,2014-10-31,RADiUS-TWC,Horror,R,164480,20132,tt1528071
Keep On Keepin' On,2014-09-19,RADiUS-TWC,Documentary,R,162530,19893,tt2674040
Deep Sea 3-D,2006-03-03,Warner Bros.,Documentary,G,162505,19890,
Pirates,2014-09-12,Well Go USA,Adventure,Not Rated,160133,19600,tt0091757
A Girl Walks Home Alone at Night,2014-11-21,Kino Lorber,Horror,Not Rated,158707,19425,tt2326554
Ernest & Celestine,2014-02-28,GKIDS,Adventure,Not Rated,156644,19173,tt0263317
Citizen Koch,2014-06-06,Variance Films,Documentary,Not Rated,153908,18838,tt2545338
Alan Partridge,2014-04-04,Magnolia Pictures,Comedy,R,153426,18779,tt0469021
A Coffee in Berlin,2014-06-09,Music Box Films,Drama,Not Rated,150275,18393,tt1954701
From the Rough,2014-04-23,Freestyle Releasing,Drama,PG,150000,18359,tt1704586
James Cameron's Deepsea Challenge 3D,2014-08-08,DisruptiveLA,Documentary,PG,149879,18345,
Out of the Furnace,2013-12-04,Relativity,Drama,R,143313,17541,tt1206543
Kids for Cash,2014-02-07,SenArt Films,Documentary,PG-13,143178,17524,tt2925642
Leviathan,2014-12-25,Sony Pictures Classics,Drama,R,140361,17180,tt2802154
Mistaken for Strangers,2014-03-28,Abramorama Films,Documentary,Not Rated,138991,17012,tt2737310
The Congress,2014-08-29,Drafthouse Films,Drama,Not Rated,137815,16868,tt1821641
Dancing in Jaffa,2014-04-11,IFC Films,Documentary,Not Rated,136257,16677,tt2125480
Aa Gaye Munde U.K. De,2014-08-08,Yash Raj Films,Romantic Comedy,Not Rated,135000,16523,tt3876082
Redwood Highway,2014-04-18,Monterey Media,Drama,PG-13,134049,16407,tt2515164
The Jewish Cardinal,2014-01-03,Film Movement,Drama,Not Rated,133672,16361,
Gore Vidal: The United States of Amnesia,2014-05-23,IFC Films,Documentary,Not Rated,133296,16315,tt1745710
Raja Natwarlal,2014-08-29,UTV Communications,Drama,Not Rated,131105,16047,tt3483712
Bethlehem,2014-03-07,Adopt Films,Thriller/Suspense,Not Rated,127115,15558,tt2915160
Make Your Move,2014-04-18,High Top Releasing,Musical,PG-13,125106,15312,tt1828959
20 Feet From Stardom,2013-06-14,RADiUS-TWC,Documentary,PG-13,124984,15297,
For a Woman,2014-05-02,Film Movement,Drama,Not Rated,122764,15026,tt2176786
Afflicted,2014-04-04,CBS Films,Horror,R,121179,14832,tt2309961
Kundo: Age of the Rampant,2014-08-29,Well Go USA,Action,Not Rated,120857,14792,tt2972482
Finding Fela!,2014-08-01,Kino Lorber,Documentary,Not Rated,120426,14740,tt2194328
Knights of Badassdom,2014-01-21,Entertainment One,Comedy,R,113531,13896,tt1545660
The Liberator,2014-10-03,Cohen Media Group,Drama,R,113067,13839,tt2387513
"Two Days, One Night",2014-12-24,Sundance Selects,Drama,PG-13,110572,13533,tt2737050
God the Father,2014-10-14,Rocky Mountain Pictures,Documentary,R,109508,13403,tt3722118
Despicable Me 2,2013-07-02,Universal,Comedy,PG,108650,13298,tt1690953
En solitaire,2014-04-18,Mongrel Media,Adventure,Not Rated,103628,12683,tt0299846
God Help the Girl,2014-09-05,Amplify,Musical,Not Rated,102757,12577,tt2141751
Coherence,2014-06-20,Oscilloscope Pictures,Drama,Not Rated,102617,12560,tt2866360
Korengal,2014-05-30,Saboteur Media,Documentary,R,101310,12400,tt3578504
The Overnighters,2014-10-10,Drafthouse Films,Documentary,PG-13,100023,12242,tt3263996
The Golden Era,2014-10-17,China Lion Film Distribution,Drama,Not Rated,99872,12224,tt3696086
Ivory Tower,2014-06-13,Samuel Goldwyn Films,Documentary,PG-13,99555,12185,tt3263520
Young & Beautiful,2014-04-25,IFC Films,Drama,Not Rated,99118,12131,tt0072431
The Way He Looks,2014-11-07,Strand,Drama,Not Rated,98408,12045,tt1702014
Ode to My Father,2014-12-25,CJ Entertainment,Drama,Not Rated,96841,11853,tt3812366
Generation War,2014-01-15,Music Box Films,Drama,Not Rated,91595,11211,tt1579233
Girl on a Bicycle,2014-02-14,Monterey Media,Romantic Comedy,R,91401,11187,tt1686042
One Chance,2014-10-10,Weinstein Co.,Drama,PG-13,90592,11088,tt1196956
Hiroshima Mon Amour,2014-10-17,Rialto Pictures,Drama,Not Rated,88300,10807,tt0052893
Breathe In,2014-03-28,Cohen Media Group,Drama,R,88100,10783,tt1999987
The Best Offer,2014-01-03,IFC Films,Drama,R,86124,10541,tt1924396
Visitors,2014-01-24,Cinedigm,Documentary,Not Rated,81470,9971,tt0301989
Advanced Style,2014-09-26,Bond/360,Documentary,Not Rated,81004,9914,tt3268030
Ender's Game,2013-11-01,Lionsgate,Adventure,PG-13,80342,9833,tt1731141
Life After Beth,2014-08-15,A24,Black Comedy,R,80315,9830,tt2581244
12 O'Clock Boys,2014-01-31,Oscilloscope Pictures,Documentary,Not Rated,80030,9795,tt2420006
Fort McCoy,2014-08-15,Monterey Media,Drama,R,78948,9663,tt1282046
Godzilla: The Original Japanese Version,2004-05-07,Rialto Pictures,Horror,Not Rated,78869,9653,
Whitey: United States of America v. James J. Bulger,2014-06-27,Magnolia Pictures,Documentary,R,75881,9287,tt3326366
Just a Sigh,2014-03-21,Distrib Films,Drama,Not Rated,75531,9244,tt2659190
Zero Motivation,2014-12-03,Zeitgeist,Drama,Not Rated,74892,9166,tt3576084
Cutie and the Boxer,2013-08-16,Radius,Documentary,R,73892,9044,tt2355540
The Broken Circle Breakdown,2013-11-01,TriBeca Films,Drama,Not Rated,73338,8976,tt2024519
Escape Plan,2013-10-18,Lionsgate,Thriller/Suspense,R,72410,8862,tt1211956
Pump,2014-09-19,Submarine Deluxe,Documentary,PG,72277,8846,tt2630916
Better Living Through Chemistry,2014-03-14,Samuel Goldwyn Films,Black Comedy,Not Rated,72273,8846,tt1609479
The Square,2013-10-25,Noujaim Films,Documentary,Not Rated,71290,8725,tt2486682
Final: The Rapture,2013-09-13,Riverrain,Thriller/Suspense,PG-13,70095,8579,tt2710368
Take Me to the River,2014-09-12,Abramorama Films,Documentary,PG,68598,8396,tt3498950
"Je t'aime, je t'aime",2014-02-14,The Film Desk,Drama,Not Rated,67503,8262,tt0063152
For No Good Reason,2014-04-25,Sony Pictures Classics,Documentary,R,67105,8213,tt2112152
The Notebook,2014-08-29,Sony Pictures Classics,Drama,R,66235,8107,tt0332280
Song of the Sea,2014-12-19,GKIDS,Adventure,PG,65845,8059,tt1865505
Through a Lens Darkly,2014-08-27,First Run Features,Documentary,Not Rated,64441,7887,tt3210388
Watermark,2014-04-04,Entertainment One,Documentary,PG,64031,7837,tt0371392
Jealousy,2014-08-13,Distrib Films,Drama,Not Rated,63946,7826,tt2511670
Heropanti,2014-05-23,UTV Communications,,Not Rated,63649,7790,tt3142232
The Last Sentence,2014-06-20,Music Box Films,Drama,Not Rated,62506,7650,tt1590013
Tiger & Bunny the Movie: The Rising,2014-03-14,Eleven Arts,Action,Not Rated,61562,7535,tt1068299
The Art of the Steal,2014-03-14,RADiUS-TWC,Comedy,R,61446,7520,tt2172985
Maidentrip,2013-12-20,First Run Features,Documentary,Not Rated,60985,7464,tt2555268
Siddharth,2014-06-27,Zeitgeist,Drama,Not Rated,60537,7409,tt2932606
Frontera,2014-09-05,Magnolia Pictures,Drama,PG-13,59696,7306,tt2510028
Il conformista,2014-08-29,Kino Lorber,Drama,R,59656,7301,
Wetlands,2014-09-05,Strand,Comedy,Not Rated,59437,7275,tt2524674
Cheap Thrills,2014-03-21,Drafthouse Films,Thriller/Suspense,Not Rated,59424,7273,tt2389182
Sweet Dreams,2013-11-15,International Film Circuit,Documentary,Not Rated,59403,7270,tt0090110
Walk of Shame,2014-05-02,Focus Features,Comedy,R,59209,7247,tt2463288
The One I Wrote for You,2014-12-05,Abramorama Films,Drama,PG,58872,7205,tt2518370
Borgman,2014-06-06,Drafthouse Films,Thriller/Suspense,Not Rated,57475,7034,tt1954315
Ai Weiwei: The Fake Case,2014-05-16,International Film Circuit,Documentary,Not Rated,57322,7016,tt3281074
Cuban Fury,2014-04-11,Entertainment One,Comedy,R,57105,6989,tt2390237
The Rocket,2014-01-10,Kino Lorber,Drama,Not Rated,56823,6955,tt2178256
The Bag Man,2014-02-28,Cinedigm,Thriller/Suspense,R,56574,6924,tt2212008
In Bloom,2014-01-10,Big World Pictures,Drama,Not Rated,56092,6865,tt2741806
Rudderless,2014-10-17,Samuel Goldwyn Films,Drama,R,56001,6854,tt1798243
Big Men,2014-03-14,Abramorama Films,Documentary,Not Rated,55032,6735,tt2789532
Starred Up,2014-08-27,TriBeca Films,Drama,Not Rated,54915,6721,tt2567712
Ilo Ilo,2014-04-04,Film Movement,Drama,Not Rated,54071,6618,tt2901736
At Middleton,2014-01-31,Anchor Bay Entertainment,Drama,R,53837,6589,tt1483324
Half of a Yellow Sun,2014-05-16,Monterey Media,Drama,R,53645,6566,tt2215077
Enough Said,2013-09-18,Fox Searchlight,Comedy,PG-13,53203,6511,tt2390361
"1,000 Times Goodnight",2014-10-24,Film Movement,Drama,Not Rated,53025,6490,
Low Down,2014-10-24,Oscilloscope Pictures,Drama,R,52337,6405,tt1864405
Hellion,2014-06-13,IFC Films,Drama,R,51748,6333,tt3186318
Hateship Loveship,2014-04-11,IFC Films,Drama,R,51610,6317,tt2463512
To Be Takei,2014-08-22,Starz Media,Documentary,Not Rated,51481,6301,tt2174896
The Missing Picture,2014-03-19,Strand,Documentary,Not Rated,51337,6283,tt2852470
The Internet's Own Boy: The Story of Aaron Swartz,2014-06-27,Participant Media,Documentary,R,50735,6209,tt3268458
The Taking of Tiger Mountain,2015-01-02,Well Go USA,Adventure,Not Rated,50621,6195,tt3950078
The Retrieval,2014-04-02,Variance Films,Western,R,50257,6151,tt2635006
A Touch of Sin,2013-10-04,Kino Lorber,Drama,Not Rated,50193,6143,tt2852400
NOW: In the Wings on a World Stage,2014-05-02,Spacey,Documentary,Not Rated,49591,6069,tt3608848
Lucky Them,2014-05-30,IFC Films,Romantic Comedy,R,48995,5996,tt1885299
She's Beautiful When She's Angry,2014-12-05,International Film Circuit,Documentary,Not Rated,48676,5957,tt3319508
Amercian Mustang,2014-01-17,Vitagraph Films,Documentary,PG,48218,5901,
A Master Builder,2014-07-23,Abramorama Films,Drama,Not Rated,46874,5737,tt2276069
Filmistan,2014-06-06,UTV Communications,Comedy,Not Rated,45406,5557,
There's No Place Like Utopia,2014-07-18,Rocky Mountain Pictures,Documentary,PG-13,45254,5539,tt3868452
The Dog,2014-08-08,Drafthouse Films,Documentary,Not Rated,44582,5456,tt3091304
Alphaville,2014-02-07,Rialto Pictures,Drama,Not Rated,43729,5352,tt0058898
If You Build It,2014-01-10,Long Shot Factory,Documentary,Not Rated,43393,5311,tt2322482
Viva La Liberta,2014-11-07,Distrib Films,,Not Rated,43116,5277,
Water & Power,2014-05-02,North/South Pictures,Drama,Not Rated,42557,5208,tt0240200
Blood Ties,2014-03-21,Roadside Attractions,Drama,R,42472,5198,tt1747958
"Flamenco, Flamenco",2014-09-19,Dada Films,Documentary,Not Rated,42297,5177,tt1550481
Percy Jackson: Sea of Monsters,2013-08-07,20th Century Fox,Adventure,PG,41344,5060,tt1854564
Elsa & Fred,2014-11-07,Alchemy,Comedy,PG-13,40903,5006,tt0263312
Interior. Leather Bar.,2014-01-02,Strand,Drama,Not Rated,40862,5001,tt2352488
Teenage,2014-03-14,Oscilloscope Pictures,Documentary,Not Rated,40169,4916,tt2196055
Decoding Annie Parker,2014-05-02,Entertainment One,Drama,R,39850,4877,tt1464191
Two Lives,2014-02-28,IFC Films,Drama,Not Rated,39673,4855,tt1783422
Child of God,2014-08-01,Well Go USA,Drama,R,37949,4644,tt1951095
Fire in the Blood,2013-09-06,International Film Circuit,Documentary,Not Rated,36228,4434,tt1787067
"Pulp: a Film About Life, Death & Supermarkets",2014-11-19,Oscilloscope Pictures,Documentary,Not Rated,35866,4389,tt3265262
Not Cool,2014-09-19,Starz Media,Comedy,Not Rated,35688,4368,tt3569356
Beneath the Harvest Sky,2014-04-25,TriBeca Films,Drama,Not Rated,34768,4255,tt2313896
Filth,2014-05-30,Magnolia Pictures,Black Comedy,R,34411,4211,tt1450321
Rocks in My Pockets,2014-09-03,Zeitgeist,Comedy,Not Rated,34236,4190,tt2961890
White Bird in a Blizzard,2014-10-24,Magnolia Pictures,Drama,R,33821,4139,tt2238050
It Felt Like Love,2014-03-21,Variance Films,Drama,Not Rated,33817,4139,tt2328922
Expedition to the End of the World,2014-08-20,Argot Pictures,Documentary,Not Rated,33416,4090,tt2530936
A Field in England,2014-02-07,Drafthouse Films,Thriller/Suspense,Not Rated,32846,4020,tt2375574
Big Bad Wolves,2014-01-17,Magnet Pictures,Thriller/Suspense,Not Rated,32828,4018,tt2309224
Dead Snow 2: Red vs. Dead,2014-10-10,Well Go USA,Black Comedy,R,32617,3992,tt2832470
Sagrada: The Mystery of Creation,2014-09-12,First Run Features,Documentary,Not Rated,32600,3990,tt2552316
The Best Man Holiday,2013-11-15,Universal,Comedy,R,32510,3979,tt2083355
Six Dance Lessons in Six Weeks,2014-12-12,Dada Films,Comedy,Not Rated,32424,3968,tt1670994
The Hero of Color City,2014-10-03,Magnolia Pictures,Adventure,G,32188,3939,tt0498351
Ping Pong Summer,2014-06-06,Gravitas Ventures,Comedy,Not Rated,31900,3904,tt2402985
Abuse of Weakness,2014-08-22,Strand,Drama,Not Rated,31557,3862,tt2418372
Yellow Day,2014-09-19,Self Distributed,Adventure,PG,31000,3794,tt2170242
Documented,2014-05-02,"Documented Film, LLC",Documentary,Not Rated,30662,3752,tt3057836
Happy Christmas,2014-07-25,Magnolia Pictures,Comedy,R,30312,3710,tt2955096
Tim Burton's The Nightmare Before Christmas 3D,2006-10-20,Walt Disney,Musical,PG,29137,3566,
A Long Way Off,2014-05-06,"Moving Visions Entertainment, Inc.",Drama,PG,28951,3543,tt2386502
Stations of the Elevated,2014-10-17,APD/Cinema Conservancy,Documentary,Not Rated,28516,3490,tt0262792
Closed Curtain,2014-07-09,Variance Films,Drama,Not Rated,28098,3439,tt2626926
Fanny,2014-07-25,Kino Lorber,Drama,Not Rated,27803,3403,tt0054866
Monk With a Camera,2014-11-21,Kino Lorber,Documentary,Not Rated,27663,3385,tt3093520
Lilting,2014-09-26,Strand,Drama,Not Rated,26699,3267,tt2560102
Bettie Page Reveals All,2013-11-22,Music Box Films,Documentary,R,26342,3224,tt1776086
Last Weekend,2014-08-29,IFC Films,Comedy,Not Rated,26111,3195,tt2435458
Burning Bush,2014-06-11,,Drama,Not Rated,26105,3195,tt2543184
Elena,2014-05-30,Variance Films/Syndicado,Documentary,Not Rated,25866,3165,tt1925421
Bird People,2014-09-12,IFC Films,Drama,Not Rated,25209,3085,tt2368635
The Act of Killing,2013-07-19,Drafthouse Films,Documentary,Not Rated,25142,3077,tt2375605
Jimmy P.,2014-02-14,IFC Films,Drama,Not Rated,24791,3034,tt2210834
Muscle Shoals,2013-09-27,Magnolia Pictures,Documentary,PG,24431,2990,tt2492916
Personal Tailor,2013-12-20,China Lion Film Distribution,Comedy,Not Rated,24225,2965,tt2992152
Happy Valley,2014-11-19,Music Box Films,Documentary,Not Rated,23868,2921,tt2171902
Blue is the Warmest Color,2013-10-25,IFC Films,Drama,NC-17,23721,2903,tt2278871
Believe Me,2014-09-26,Riot Studios,Comedy,PG-13,23689,2899,tt3107070
Video Games: The Movie,2014-07-18,Variance Films,Documentary,Not Rated,23043,2820,tt3214002
Grand Piano,2014-03-07,Magnolia Pictures,Thriller/Suspense,R,22555,2760,tt2039345
Murder Eleven,2013-10-01,Indican Pictures,Thriller/Suspense,R,22107,2705,tt2130136
Memphis,2014-09-05,Kino Lorber,Drama,Not Rated,21232,2598,tt3092606
The Decent One,2014-10-01,Kino Lorber,Documentary,Not Rated,20240,2477,
The Past is a Grotesque Animal,2014-06-19,Oscilloscope Pictures,Documentary,Not Rated,20056,2454,tt3072636
"Christian Mingle, The Movie",2014-10-10,Rocky Mountain Pictures,Romantic Comedy,PG,19836,2427,
Adult World,2014-02-14,IFC Films,Comedy,R,19731,2415,tt1067765
Why Don't You Play in Hell?,2014-11-07,Drafthouse Films,Action,Not Rated,19621,2401,tt2409302
Guardian Angel,2014-10-17,Richmond Media Entertainment,Action,R,19480,2384,tt0109950
Peter Brook: The Tightrope,2014-01-31,First Run Features,Documentary,Not Rated,19365,2370,
Watchers of the Sky,2014-10-17,Music Box Films,Documentary,Not Rated,19339,2367,tt2049589
The Kill Team,2014-07-25,Oscilloscope Pictures,Documentary,Not Rated,19183,2347,tt2732932
Test,2014-06-06,Variance Films,Drama,Not Rated,18823,2303,tt2407380
Tasting Menu,2014-04-18,Magnolia Pictures,Comedy,PG-13,18686,2287,tt1826753
The Passionate Thief,2014-12-05,Rialto Pictures,Comedy,Not Rated,18404,2252,tt0054242
Who is Dayani Cristal?,2014-04-25,Kino Lorber,Documentary,Not Rated,18190,2226,tt1847750
Journey to the West,2014-03-07,Magnolia Pictures,Adventure,PG-13,18058,2210,tt2017561
Stand Clear of the Closing Doors,2014-05-23,Oscilloscope Pictures,Drama,Not Rated,17282,2115,tt2405372
Accident,2014-05-23,Rialto Pictures,Drama,Not Rated,17161,2100,tt1202514
Hank and Asha,2014-04-11,FilmRise,Romantic Comedy,Not Rated,16878,2065,tt2330270
The Principle,2014-10-24,Rocky Mountain Pictures,Reality,PG,16826,2059,tt2458876
The Sacrifice,2014-11-07,Kino Lorber,Drama,Not Rated,16503,2019,tt0091670
Levitated Mass,2014-09-05,First Run Features,Documentary,Not Rated,16086,1968,tt2992220
Two Night Stand,2014-09-26,Entertainment One,Romantic Comedy,R,15600,1909,tt2140619
Magician: The Astonishing Life and Work of Orson Wells,2014-12-10,Cohen Media Group,Documentary,PG-13,15528,1900,
Kelly & Cal,2014-09-05,IFC Films,Comedy,R,15297,1872,tt0082606
Barefoot,2014-02-21,Roadside Attractions,Romantic Comedy,PG-13,15071,1844,tt2355495
Free the Mind,2013-05-03,International Film Circuit,Documentary,Not Rated,15069,1844,tt1673376
Horses of God,2014-05-14,Kino Lorber,Drama,Not Rated,14817,1813,tt2369047
Conte d'hiver,2014-12-19,Big World Pictures,Drama,Not Rated,14810,1812,tt0253005
The Last of the Unjust,2014-02-07,Cohen Media Group,Documentary,PG-13,14500,1774,tt2340784
Exhibition,2014-06-20,Kino Lorber,Drama,Not Rated,14157,1732,tt2436452
The Pretty One,2014-02-07,Dada Films,Comedy,R,13769,1685,tt2140577
Fifi Howls from Happiness,2014-08-08,Music Box Films,Documentary,Not Rated,13614,1666,tt2731398
The Counselor,2013-10-25,20th Century Fox,Thriller/Suspense,R,13491,1651,tt2193215
As It Is in Heaven,2014-07-11,Cinema Purgatorio,Drama,Not Rated,13486,1650,tt0382330
War of the World's Goliath,2014-03-07,Anderson Digital,Adventure,PG-13,13385,1638,
A Long Way Down,2014-07-11,Magnolia Pictures,Drama,R,13347,1633,tt0458413
The Pleasures of Being Out of Step,2013-06-30,First Run Features,Documentary,Not Rated,13137,1607,tt2312616
Night Lights,2014-08-15,Indican Pictures,Drama,Not Rated,12848,1572,tt3213500
Coming Up Roses,2012-11-09,Dada Films,Drama,Not Rated,12835,1570,tt0090867
Inequality for All,2013-09-27,RADiUS-TWC,Documentary,PG,12301,1505,tt2215151
Touch the Wall,2014-11-28,"Touch the Wall, LLC",Documentary,Not Rated,12156,1487,tt2980728
Bhopal: A Prayer for Rain,2014-11-07,Revolver Entertainment,Drama,Not Rated,12111,1482,tt0839742
Alien Abduction,2014-04-04,IFC Midnight,Thriller/Suspense,Not Rated,12087,1479,tt2510434
The French Minister,2014-03-21,,Comedy,Not Rated,12027,1472,tt2609222
Run & Jump,2014-01-24,Sundance Selects,Drama,Not Rated,11805,1444,tt0102818
Falcon Rising,2014-09-05,Freestyle Releasing,Adventure,R,11774,1441,tt2295722
Emoticon,2014-05-30,Indican Pictures,Drama,Not Rated,11761,1439,tt4546446
The Final Member,2014-04-18,Drafthouse Films,Documentary,R,11428,1398,tt2318701
History of Jazz: Oxygen for the Ears,2013-08-31,Indican Pictures,Documentary,Not Rated,11293,1382,tt2273471
The Amazing Catfish,2014-06-13,Strand,Comedy,Not Rated,11278,1380,tt2414046
The Selfish Giant,2013-12-20,IFC Films,Drama,Not Rated,11117,1360,tt2304426
Pay 2 Play: Democracy's High Stakes,2014-09-05,"Shoot First, Inc.",Documentary,Not Rated,11021,1348,tt3410666
American Promise,2013-10-18,Rada Film Group,Documentary,Not Rated,10317,1262,tt2545088
The Endless Summer,2014-07-23,Monterey Media,Documentary,Not Rated,10233,1252,tt0060371
The Great Invisible,2014-10-29,RADiUS-TWC,Documentary,PG-13,9952,1218,tt3567200
Camp X-Ray,2014-10-17,IFC Films,Drama,R,9837,1204,tt2994190
The King and the Mockingbird,2014-11-21,Rialto Pictures,Adventure,Not Rated,9554,1169,tt0079820
The Players,2014-04-04,Weinstein Co.,Comedy,R,9552,1169,tt2087850
The Search of General Tso,2015-01-02,Sundance Selects,Documentary,Not Rated,9336,1142,
Last Passenger,2014-04-25,Cohen Media Group,Thriller/Suspense,R,9326,1141,tt1858481
Honeymoon,2014-09-12,Magnolia Pictures,Horror,R,9318,1140,tt3177316
The Sacrament,2014-06-06,Magnolia Pictures,Horror,R,9221,1128,tt2383068
13 Sins,2014-04-18,RADiUS-TWC,Horror,R,9134,1117,tt2059171
Goodbye to All That,2014-12-17,IFC Films,Drama,Not Rated,9000,1101,tt2437548
On the Other Side of the Tracks,2014-04-04,Weinstein Co.,Comedy,R,8689,1063,tt1937133
Kabbalah Me,2014-08-21,First Run Features,Documentary,Not Rated,8671,1061,tt3726626
Days and Nights,2014-09-26,IFC Films,Comedy,Not Rated,8647,1058,tt2359381
Radio Free Albemuth,2014-06-27,Freestyle Releasing,Thriller/Suspense,R,8493,1039,tt1129396
Canopy,2014-08-29,Monterey Media,Adventure,PG-13,8462,1035,tt2232578
Love is in the Air,2014-01-31,Variance Films,Romantic Comedy,Not Rated,8425,1031,tt2298384
Go For Sisters,2013-11-08,Variance Films,Thriller/Suspense,Not Rated,8388,1026,tt2247432
